,Title,Link,cor_A,inst,Author,vol_num,paper_type,Journal,Date,,
118,"인천지역 일부 중학생의 학교급식 건강메뉴에 대한 기호도 연구
Preferences for Health Menu in School Foodserviceof Middle School Students in Incheon",0,장경자 /Kyung Ja Chang,: 한국외식산업학회,"차원 /Cha, Won, 박민아",83-93,0,한국외식산업학회지,2019.03,,1
119,Comparison of nutrient intakes by nutritional anemia and the association between nutritional anemia and chronic diseases in Korean elderly: Based on the 2013-2015 Korea National Health and Nutrition Examination Survey Data,0,Kyung Ja Chang,: 한국영양학회,"So Hyun Park, So Hee Han",543-554,0,Nutrition Research and Practice,2019.12,,1
120,"인천지역 장기요양시설과 주간보호시설 여성치매노인의 인지기능 및 영양섭취 비교
Comparison of the Cognitive Function and Nutrient Intakes of Elderly Women with Dementia in a Long-Term Care Facility and a Day-Time Care Facility in Incheon",0,장경자 /Kyung Ja Chang,: 한국식생활문화학회,"배미애 /Mi Ae Bae, 이영휘 /Lee， Young Whee, 김화순 /KIM HWASOON, 유정순 /Jeong Soon You",389-400,0,한국식생활문화학회지,2019.08,,1
121,0,0,0,0,0,0,0,0,0,,0
122,0,0,0,0,0,0,0,0,0,,0
123,0,0,0,0,0,0,0,0,0,,0
124,0,0,0,0,0,0,0,0,0,,0
125,0,0,0,0,0,0,0,0,0,,0
126,0,0,0,0,0,0,0,0,0,,0
127,0,0,0,0,0,0,0,0,0,,0
128,0,0,0,0,0,0,0,0,0,,0
129,0,0,0,0,0,0,0,0,0,,0
130,0,0,0,0,0,0,0,0,0,,0
131,0,0,0,0,0,0,0,0,0,,0
132,0,0,0,0,0,0,0,0,0,,0
133,"인천지역 부모의 식습관과 식사･편식지도가 유아의 식습관 및 식품 기호도에 미치는 영향
Effects of Dietary Habits and Feeding Practices of Their Parents on Dietary Habits and Food Preference of Children in Incheon",0,장경자 /Kyung Ja Chang,: 한국외식산업학회,"차원 /Cha, Won, 박소현 /Park， So Hyun, 정세주",31-43,0,한국외식산업학회지,2019.09,,1
134,"성별에 따른 중년층의 가정간편식에 대한 소비행동과 선택속성
Consumption Behaviors and Selective Attributes of Home Meal Replacement in Middle-aged Adults according to Gender",0,장경자 /Kyung Ja Chang,: 한국식생활문화학회,"박소현 /So Hyun Park, 배미애 /Mi Ae Bae, 한소희 /So Hee Han, 서용덕 /Young Deok Seo",697-706,0,한국식생활문화학회지,2019.12,,1
135,0,0,0,0,0,0,0,0,0,,0
136,NO2 sensing properties of WO3-decorated In2O3 nanorods and In2O3-decorated WO3 nanorods,0,"이중무 /Chongmu Lee, 현승균 /Soong-Keun Hyun",: 나노기술연구협의회,"Tae-Kyoung Ko, Bumhee Nam",1-10,비정규 논문,Nano Convergence,2019.12,,1
137,Marginal States of Light,0,"김기식 /KIM, KISIK",: 한국물리학회,"김기식 /KIM, KISIK",941-945,0,Journal of the Korean Physical Society,2019.05,,1
138,"주민투표법개정안의 문제점과 보완방안
A Research on Problems and Alternatives for the Revision Bill of Local Referendum",0,이기우 /Ki-Wu Lee,: 한국지방자치학회,이기우 /Ki-Wu Lee,175-197,0,한국지방자치학회보,2019.09,,1
139,"깊이 영상 기반 필터를 적용한 효과적인 호모그래피 추정 방법
A Method for Effective Homography Estimation Applying a Depth Image-Based Filter",0,조근식 /Geun-Sik Jo,: 한국정보처리학회,"주용준 /JOOYONGJOON, 홍명덕 /Myung-Duk Hong, 윤의녕 /Ui-Nyoung Yoon, 고승현",61-66,0,정보처리학회논문지. 소프트웨어 및 데이터 공학,2019.02,,1
140,"Unbalanced U-Net과 GAN(Generative Adversarial Networks)을 이용한 한국어 폰트 자동 변환
Automatic Transformation of Korean Fonts using Unbalanced U-net and Generative Adversarial Networks",0,조근식 /Geun-Sik Jo,: 한국정보과학회,"방가 /PANG JIA, 고승현, 방양 /Yang Fang",15-21,0,정보과학회논문지,2019.01,,1
141,0,0,0,0,0,0,0,0,0,,0
142,0,0,0,0,0,0,0,0,0,,0
143,"Channel Attention과 그룹 컨볼루션을 이용한 효율적인 얼굴 감정인식 CNN
Efficient CNNs with Channel Attention and Group Convolution for Facial Expression Recognition",0,조근식 /Geun-Sik Jo,: 한국정보과학회,"이명오 /Lee Myeong-Oh, 윤의녕 /Ui-Nyoung Yoon, 고승현",1241-1248,0,정보과학회논문지,2019.12,,1
144,GM-CSF Enhances Mobilization of Bone Marrow Mesenchymal Stem Cells via a CXCR4-Medicated Mechanism,0,"SO-RA PARK, Byung Hyune Choi",: 한국조직공학과 재생의학회,"Jiyoung Kim, Na Kyeong Kim",59-68,0,조직공학과 재생의학,2019.02,,1
145,0,0,0,0,0,0,0,0,0,,0
146,"남한의 경제자유구역 운영경험과 북한에 주는 법적 시사점
The operational experience for the Free Economic Zone of the ROK and the legal implications for DPRK",0,김민배 /KIM MINBAE,: 한국토지공법학회,김민배 /KIM MINBAE,65-92,0,토지공법연구,2019.02,,1
147,"AI 로봇의 법적 지위에 대한 쟁점과 과제- Bryson 등의 법인격 이론을 중심으로 -
Issues and challenges about the legal status of AI robots - Focusing on Bryson's theory of legal personality -",0,김민배 /KIM MINBAE,: 한국토지공법학회,김민배 /KIM MINBAE,791-813,0,토지공법연구,2019.08,,1
148,"행정조사제도의 실무적 절차와 쟁점 - 일본의 독점금지법상 조사절차를 중심으로 -
Practical Procedures and Issues of the Administrative Investigation System - Focusing on the Investigation Procedure under Japan's Antitrust Law -",0,김민배 /KIM MINBAE,: 인하대학교 법학연구소,김민배 /KIM MINBAE,147-183,0,법학연구,2019.12,,1
149,"미국의 행정조사제도와 연방거래위원회의 조사절차
The Administrative Investigation System of the United States and the Federal Trade Commission's Investigation Procedure",0,김민배 /KIM MINBAE,: 한국산업보안연구학회,김민배 /KIM MINBAE,55-85,0,한국산업보안연구,2019.12,,1
150,0,0,0,0,0,0,0,0,0,,0
151,0,0,0,0,0,0,0,0,0,,0
152,Noncovalent Immobilization of Palladium Complex onto Reduced Graphene Oxide: A Highly Efficient and Recyclable Catalyst for Suzuki Reaction,0,진명종 /Myung-Jong Jin,: 대한화학회,"Yingjie Qian, 정상영 /Sang-Yung Jung",477-478,0,Bulletin of the Korean Chemical Society,2019.06,,1
153,0,0,0,0,0,0,0,0,0,,0
154,Synthesis of novel and room temperature-operable palladium complexes on graphene oxide: An efficient recyclable catalyst for Suzuki-Miyaura coupling reactions,0,심상은 /SHIM SANG EUN,: 한국공업화학회,"Yingjie Qian, 소재일 /Jae Il So, 이명선 /Lee Myeongseon, 황소산 /Sosan Hwang, 진명종 /Myung-Jong Jin",253-261,0,Journal of Industrial and Engineering Chemistry,2019.07,,1
155,0,0,0,0,0,0,0,0,0,,0
156,Inhibition of Autolysosome Formation Improves rrhGAA Production Driven by RAmy3D Promoter in Transgenic Rice Cell Culture,0,DONG-IL KIM,: 한국생물공학회,"홍종광 /JONG KWANG HONG, Hong-Yeol Choi, Hae-Rim Park, Dong-Yup Lee",568-578,0,Biotechnology and Bioprocess Engineering,2019.06,,1
157,"CHO 세포 배양에서 Hexose 혼합 비율 조절에 의한Albumin-erythropoietin의 Sialylation 증대
Enhanced Sialylation of Albumin-erythropoietin by Controlling Hexose Combination Ratio in Chinese Hamster Ovary Cell Cultures",0,김동일 /Dong-Il Kim,: 한국생물공학회,"김나희, 차현명 /Cha HyunMyoung, 임진혁, 이지훈 /LEE JI HUN, 한혜진",73-79,0,KSBB Journal,2019.06,,1
158,0,0,0,0,0,0,0,0,0,,0
159,0,0,0,0,0,0,0,0,0,,0
160,0,0,0,0,0,0,0,0,0,,0
161,0,0,0,0,0,0,0,0,0,,0
