사번,연번,저서명(원어),저서형태,출판년월,출판사,val_title,val_저서형태,val_출판년월,val_출판사,val_author_number,val_main_author
201003,33,4차 산업혁명과 기술경영: 혁신과 성장,전체 - 초판,201901,한경사,unknown,unknown,unknown,unknown,unknown,unknown 
201003,34,고객만족과 지속가능성장의 원천 _ 품질경영,전체 - 초판,201902,생능,valid,valid,valid,valid,valid,valid 
201003,35,BTS와 서비스품질경영,전체 - 초판,201911,한경사,invalid (0.53),valid,valid,valid,valid,valid 
201006,14,한일관계 2천년 화해의 실마리,전체 - 초판,201909,상생출판,invalid (0.62),valid,valid,valid,valid,valid 
201016,3,응급의학,chapter - 개정,201911,군자출판사,valid,valid,valid,valid,invalid,invalid 
201119,8,Amyloid PET Neuroimaging,chapter - 개정,201909,메디칼업저버,valid,valid,invalid,valid,invalid,invalid 
202014,15,역주 일본판 삼강행실도 3 열녀,전체 - 초판,201904,시간의물레,valid,valid,valid,valid,valid,valid 
202072,4,梅蘭芳學刊第二輯,chapter - 초판,201905,學苑,unknown,unknown,unknown,unknown,unknown,unknown 
202073,5,20세기 미국소설 강의,chapter - 초판,201912,신아사,valid,valid,valid,valid,invalid,valid 
203020,19,제4판 체육학연구방법,전체 - 개정,201903,레인보우북스,invalid (0.70),valid,valid,valid,valid,valid 
203022,39,외국어로서의 한국어학,전체 - 초판,201908,역락,valid,valid,valid,valid,valid,valid 
203023,55,Regulation on Navigation of Foreign Vessels: Asia-Pacific State Practice,chapter - 초판,201904,Brill | Nijhoff,unknown,unknown,unknown,unknown,unknown,unknown 
203023,56,Maritime Cooperation in Semi-Enclosed Seas: Asian and European Experiences,chapter - 초판,201905,Brill | Nijhoff,unknown,unknown,unknown,unknown,unknown,unknown 
203023,57,The Oxford Handbook of International Law in Asia and the Pacific,chapter - 초판,201909,Oxford University Press,unknown,unknown,unknown,unknown,unknown,unknown 
203023,58,Asian Yearbook of International Law,chapter - 초판,201912,Brill Nijhoff Publishers,unknown,unknown,unknown,unknown,unknown,unknown 
203024,4,"Relevance, Pragmatics and Interpretation",chapter - 초판,201907,Cambridge University Press,unknown,unknown,unknown,unknown,unknown,unknown 
203087,22,환경정책론,전체 - 개정,201909,박영사,valid,valid,valid,valid,valid,valid 
203088,2,외국어교육론,전체 - 초판,201906,시간의물레,valid,valid,valid,valid,valid,valid 
203092,19,간호사를 위한 알기쉬운 창업관리,전체 - 초판,201905,HN미디어,valid,valid,valid,valid,valid,valid 
204023,1,대학물리학,전체 - 개정,201902,북스힐,valid,valid,invalid,valid,valid,valid 
204024,3,KOREAN COASTAL-OCEAN ENGINEERING,chapter - 초판,201910,Hanrimwon  Publishing Company,valid,valid,invalid,valid,invalid,invalid 
204025,64,Developing the digital economy in ASEAN,chapter - 초판,201909,Routledge,unknown,unknown,unknown,unknown,unknown,unknown 
204026,101,중국계 이주민의 다문화 생활세계 연구,전체 - 초판,201901,북코리아,valid,valid,valid,valid,valid,valid 
204026,102,다문화 생활세계와 사회통합 연구,전체 - 초판,201901,북코리아,invalid (0.26),valid,invalid,valid,invalid,valid 
204026,103,행복은 어디에서 오는가,chapter - 초판,201903,학지사,valid,valid,valid,valid,valid,valid 
204026,104,한국어 의미 탐구의 현황과 과제,chapter - 초판,201905,한국문화사,valid,valid,valid,valid,invalid,valid 
204026,105,Education Applications & Developments IV: Advances in Education and Educational Trends Series,chapter - 초판,201905,InScience Press,unknown,unknown,unknown,unknown,unknown,unknown 
204026,106,다문화교육과 협동학습 경험,전체 - 초판,201909,북코리아,valid,valid,valid,valid,valid,valid 
204026,107,동남아시아계 이주민의 다문화 생활세계연구,전체 - 초판,201912,북코리아,valid,valid,valid,valid,valid,valid 
204026,108,동남아시아계 이주민의 생활세계 생애담 연구,전체 - 초판,201912,북코리아,valid,valid,valid,valid,valid,valid 
204026,109,결혼이주여성의 주체적 삶에 관한 생애담 연구,전체 - 초판,201912,북코리아,valid,valid,valid,valid,valid,valid 
204072,34,체육학 연구방법 제4판,전체 - 개정,201903,레인보우북스,invalid (0.76),valid,valid,valid,valid,valid 
204072,35,스포츠심리학의 정석,전체 - 초판,201909,레인보우북스,valid,valid,valid,valid,valid,valid 
204072,36,KTA태권도장 상담 매뉴얼,전체 - 초판,201910,상아기획,valid,valid,valid,valid,valid,valid 
204075,43,In Search of New Governance of Overseas Korean Policy: The Rise of Multi-identity and Enactment of Framework Act,전체 - 초판,201910,이민정책연구원 MRTC,unknown,unknown,unknown,unknown,unknown,unknown 
205002,22,Engineered Fabrics,chapter - 초판,201904,InTechOpen,unknown,unknown,unknown,unknown,unknown,unknown 
205002,23,FLUID FLOW PROBLEMS,chapter - 초판,201905,IntechOpen,unknown,unknown,unknown,unknown,unknown,unknown 
205002,24,Nanoscale Networking and Communications Handbook,chapter - 초판,201907,CRC Press,unknown,unknown,unknown,unknown,unknown,unknown 
205010,7,グロ-バル化とその反撥,chapter - 초판,201903,大坂産業大學アジア共同體硏究センタ-,unknown,unknown,unknown,unknown,unknown,unknown 
205010,8,2020 한국경제 대전망,chapter - 초판,201911,21세기북스,valid,valid,invalid,valid,invalid,invalid 
205014,14,고등학교 경제,전체 - 개정,201903,천재교육,valid,invalid,valid,valid,valid,valid 
205014,15,고등학교 경제 교사용 지도서,전체 - 개정,201903,천재교육,invalid (0.58),invalid,valid,valid,valid,valid 
205015,21,아주 쓸모 있는 세계 이야기,전체 - 초판,201909,푸른길,valid,valid,valid,valid,valid,valid 
205015,22,새로운 지역지리학과 지리교육,chapter - 초판,201912,푸른길,valid,valid,valid,valid,valid,valid 
205017,1,환경 판례백선,전체 - 초판,201912,박영사,valid,valid,valid,valid,invalid,invalid 
205064,6,인적자원관리,전체 - 초판,201908,북넷,valid,valid,valid,valid,valid,valid 
205066,19,근거기반 임상간호실무지침: 낙상관리,전체 - 초판,201902,병원간호사회,valid,valid,valid,invalid (0.14),invalid,valid 
205108,12,임화문학연구6,chapter - 초판,201910,소명,valid,valid,valid,valid,invalid,valid 
206120,10,"도시재생, 현장에서 답을 찾다",chapter - 초판,201912,미세움,valid,valid,valid,valid,valid,valid 
206577,4,Springer Handbook of Science and Technology Indicators,chapter - 초판,201910,Springer,unknown,unknown,unknown,unknown,unknown,unknown 
206577,5,Big Data Applications and Services,전체 - 초판,201910,Springer,unknown,unknown,unknown,unknown,unknown,unknown 
206592,30,교사를 위한 온작품 읽기 : 초등학교 한 학기 한 권 읽기 안내서,전체 - 초판,201903,창비,valid,valid,valid,valid,valid,valid 
206592,31,우리 여기에 있어! : 창비아동문고 300권 기념 동화집·동물,전체 - 초판,201902,창비,valid,valid,valid,valid,invalid,invalid 
206592,32,우리 함께 웃으며 : 창비아동문고 300권 기념 동화집·평화,전체 - 초판,201903,창비,valid,valid,invalid,valid,invalid,invalid 
206619,6,물류통상 신시장 탐색: 중국 일대일로 정책에 대한 분석적 고찰,chapter - 초판,201904,정석물류통상연구원,valid,valid,valid,valid,invalid,invalid 
207469,29,"문화어 수업 : 다음 세대를 위한 요즘 북한 말, 북한 삶 안내서",전체 - 초판,201908,어크로스,valid,valid,valid,valid,valid,valid 
207603,41,회사법입문 (제9판),전체 - 개정,201902,법문사,invalid (0.34),valid,valid,invalid (0.00),valid,valid 
207603,42,"상법판례백선 (제7판, 공저)",전체 - 개정,201908,법문사,invalid (0.52),valid,invalid,invalid (0.00),invalid,valid 
207603,43,"회사법 - 사례와 이론 (제6판, 공저)",전체 - 개정,201903,박영사,valid,valid,valid,valid,valid,valid 
207603,44,상법연습 [로스쿨 상법강좌],전체 - 초판,201909,디자인장이,valid,valid,valid,valid,valid,valid 
207603,45,「상법」상 법률용어 정비방안 (법무부 용역과제),전체 - 초판,201911,.,unknown,unknown,unknown,unknown,unknown,unknown 
207721,7,인터넷 플랫폼 중립성 규제론,전체 - 초판,201902,박영사,valid,valid,valid,valid,valid,valid 
208195,3,2018/19 KSP policy consultation report : Azerbaijan : improvement of operation and regulation of capital and financial derivatives markets in Azerbaijan,chapter - 초판,201912,Ministry of Economy and Finance : Korea Development Institut,valid,valid,invalid,valid,invalid,invalid 
208196,32,사회복지정책론,전체 - 초판,201903,사회평론아카데미,valid,valid,invalid,valid,valid,valid 
208196,33,한국 복지국가의 기원과 궤적 1: 자본주의로의 이행의 시작-18세기부터 1945년까지,전체 - 초판,201906,사회평론아카데미,valid,valid,valid,valid,valid,valid 
208196,34,한국 복지국가의 기원과 궤적 2: 반공개발국가 복지체제의 형성-1945년부터 1980년까지,전체 - 초판,201906,사회평론아카데미,valid,valid,valid,valid,valid,valid 
208196,35,한국 복지국가의 기원과 궤적 3: 신자유주의와 복지국가-1980년부터 2016년까지,전체 - 초판,201906,사회평론아카데미,valid,valid,valid,valid,valid,valid 
208196,38,저출산 고령사회 신진학자 협동연구: 인구정책의 새로운 대안 모색,전체 - 초판,201912,한국보건사회연구원,valid,valid,invalid,valid,invalid,invalid 
208197,8,Two Women as Specters of History: Lakambini & Indigo Child by Rody Vera,chapter - 초판,201912,ATENEO DE MANILA UNIVERSITY PRESS,unknown,unknown,unknown,unknown,unknown,unknown 
208197,9,"Millennial Traversals: Outliers, Juvenilia & Quondam Popcult Blabbery",전체 - 초판,201912,Amauteurish Publishing,unknown,unknown,unknown,unknown,unknown,unknown 
208200,7,에센스 식품미생물학,전체 - 개정,201403,지구문화사,valid,invalid,invalid,valid,invalid,invalid 
208631,5,Encyclopedia of Biomedical Gerontology,chapter - 초판,201911,Elsevier,unknown,unknown,unknown,unknown,unknown,unknown 
208632,13,한국어 의미 탐구의 현황과 과제,chapter - 초판,201905,한국문화사,valid,valid,valid,valid,invalid,valid 
208632,14,국어 의미 교육론,chapter - 초판,201901,태학사,valid,valid,valid,valid,valid,valid 
208633,12,국제법,전체 - 개정,201901,연경문화사,valid,valid,valid,valid,invalid,valid 
